device,road,distance,"('latency', 'count')","('latency', 'mean')","('latency', 'std')","('latency', 'min')","('latency', '25%')","('latency', '50%')","('latency', '75%')","('latency', 'max')",latency_variane
Dragino,curve,100,10.0,64.1,0.31622776601683794,64.0,64.0,64.0,64.0,65.0,0.10000000000000063
Dragino,curve,300,10.0,64.1,0.31622776601683794,64.0,64.0,64.0,64.0,65.0,0.10000000000000137
Dragino,curve,500,10.0,64.2,0.4216370213557839,64.0,64.0,64.0,64.0,65.0,0.17777777777777895
Dragino,straight,100,10.0,65.1,0.31622776601683794,65.0,65.0,65.0,65.0,66.0,0.10000000000000137
Dragino,straight,300,10.0,64.2,0.4216370213557839,64.0,64.0,64.0,64.0,65.0,0.1777777777777764
Dragino,straight,500,10.0,64.6,0.5163977794943222,64.0,64.0,65.0,65.0,65.0,0.2666666666666646
SX1278,curve,100,3.0,2525.882666666667,151.49094010314053,2350.956,2482.136,2613.316,2613.346,2613.376,22949.50493333333
SX1278,curve,300,3.0,3558.753333333334,2091.6926861098245,2350.992,2351.114,2351.236,4162.634,5974.032,4375178.293125333
SX1278,straight,100,3.0,0.7026666666666666,0.09816992071573319,0.608,0.6519999999999999,0.696,0.75,0.804,0.009637333333333345
SX1278,straight,300,3.0,2454.5773333333336,16.13746018843537,2436.172,2448.7160000000003,2461.26,2463.78,2466.3,260.41762133333094
SX1278,straight,500,3.0,19199.072,14248.617771744179,9564.22,11015.405999999999,12466.592,24016.498,35566.404,203023108.40526405
