device,road,distance,"('speed', 'count')","('speed', 'mean')","('speed', 'std')","('speed', 'min')","('speed', '25%')","('speed', '50%')","('speed', '75%')","('speed', 'max')",speed_variane
Dragino,curve,100,10.0,22400.0,8262.364471909157,16000.0,16000.0,16000.0,32000.0,32000.0,68266666.66666667
Dragino,curve,300,10.0,20266.666999999998,8262.364041577728,10666.67,16000.0,16000.0,28000.0,32000.0,68266659.55555665
Dragino,curve,500,10.0,22400.0,8262.364471909157,16000.0,16000.0,16000.0,32000.0,32000.0,68266666.66666667
Dragino,straight,100,10.0,24000.0,8432.740427115677,16000.0,16000.0,24000.0,32000.0,32000.0,71111111.1111111
Dragino,straight,300,10.0,22400.0,8262.364471909157,16000.0,16000.0,16000.0,32000.0,32000.0,68266666.66666669
Dragino,straight,500,10.0,21333.334,9407.114932753117,10666.67,16000.0,16000.0,32000.0,32000.0,88493811.35802668
SX1278,curve,100,10.0,25600.0,8262.364471909157,16000.0,16000.0,32000.0,32000.0,32000.0,68266666.66666669
SX1278,curve,300,10.0,25600.0,8262.364471909157,16000.0,16000.0,32000.0,32000.0,32000.0,68266666.66666667
SX1278,straight,100,10.0,24000.0,8432.740427115677,16000.0,16000.0,24000.0,32000.0,32000.0,71111111.1111111
SX1278,straight,300,10.0,23466.666999999998,9134.387092495952,10666.67,16000.0,24000.0,32000.0,32000.0,83437027.55555667
SX1278,straight,500,10.0,20800.0,7728.734264634368,16000.0,16000.0,16000.0,28000.0,32000.0,59733333.333333336
